Janvāris;Februāris;Marts;Aprīlis;Maijs;Jūnijs;Jūlijs;Augusts;Septembris;Oktobris;Novembris;Decembris;kopā;
Kravas;;689;807;889;880;926;625;761;741;697;888;;;7903;
Vieglie ;;3738;4051;5008;5108;5369;4917;5357;5093;5041;5272;;;48954;
Autobusi;;16;44;31;28;37;53;19;49;93;21;;;391;
Motocikli,tricikli;;178;256;571;656;740;473;497;380;254;168;;;4173;
Piekabes,puspiek.;;405;475;695;802;811;714;744;678;531;632;;;6487;
Mopēdi;;42;58;152;171;243;205;170;117;98;49;;;1305;
Kvadricikli;;40;45;52;50;35;20;22;19;13;5;;;301;
Kopā:;;5108;5736;7398;7695;8161;7007;7570;7077;6727;7035;0;0;69514;
Laivas, kuģi;;26;53;94;174;174;147;176;130;98;66;;;1138;
Bezceļa tricikli,kvadricikli;;10;18;82;19;21;16;14;9;13;24;;;226;
Pavisam;;5144;5807;7574;7888;8356;7170;7760;7216;6838;7125;0;0;70878;
